Gene_name	S1-d0	S2-d0	S3-d0	S4-d0	S5-d0	S6-d0	S7-d0	S8-d0	S9-d0	S10-d0	S1-d10	S2-d10	S3-d10	S4-d10	S5-d10	S6-d10	S7-d10	S8-d10	S9-d10	S10-d10
Gm4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-T9	0	0	183.68	0	152.48	0	0	0.75	101.71	12.32	0	0	0	0	173.49	0	0	164.92	142.04	0
Gjc1	868	930	1090	1239	1319	892	1069	997	1167	1091	572	855	551	827	954	622	340	591	909	790
Sirt6	556	516	639	788	704	638	670	700	589	477	643	705	493	625	859	446	198	374	451	446
Ddr1	2394	2895	2270	3116	3258	2611	3138	2438	3930	2846	3055	3342	2071	3254	3733	2413	689	1504	2703	2176
Hist2h3c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r1b	6	1	1	0	1	2	1	0	7	22	4	13	1	18	27	43	5	15	17	72
Igfbp1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
AV039307	5	3	10	12	7	8	5	6	12	13	6	6	6	7	8	14	2	8	21	10
Mir339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbnl	2787	2397	3276	4525	4371	3794	3875	4015	5226	4898	3579	4109	2647	3994	5006	3737	1780	3588	4092	4048
4932435O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stra8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1110059E24Rik	456	405	516	663	684	569	515	498	584	614	478	539	380	585	799	514	238	446	602	584
Sdk2	44	74	64	88	83	23	43	72	63	36	113	218	169	181	275	19	20	37	41	33
Rab26os	28	39	51	72	88	37	41	33	74	82	23	27	20	72	114	16	11	24	43	80
Katnb1	522	508	574	693	691	628	683	643	720	655	524	579	420	547	767	532	221	488	575	623
Crebl2	162	159	194	357	467	229	244	272	709	604	420	441	325	549	598	535	281	502	929	619
Serpina1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1b	8	5	0	4	11	1	1	0	0	0	13	2	4	5	30	0	0	0	0	0
Tmem45a	1276	1029	1702	2268	1948	1656	1682	1493	2045	1987	3108	2618	2067	2789	3884	1227	670	1194	1447	1645
Mir125a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5897	0	0	1	1	1	0	0	0	2	3	0	1	1	0	0	0	0	0	0	0
Siah1b	158	188	198	172	173	149	165	128	140	130	146	172	110	149	213	92	50	122	119	108
Rundc3a	31	6	21	17	27	12	12	27	10	11	20	30	28	16	28	10	4	10	7	9
Sun1	2353	2446	2762	3399	3741	2449	2444	2620	3549	3539	2656	3100	2178	3103	4091	2665	1210	2307	3347	3011
Obsl1	2976	2938	4365	5193	5092	3881	5789	5650	7004	5854	3988	5469	3797	4620	5544	4315	1852	3871	5728	4964
Ly6k	0	0	0	2	0	1	0	0	2	3	3	0	1	2	1	1	0	1	9	1
Olfr61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar6	350	353	345	518	763	444	385	328	440	445	757	640	479	608	838	524	294	464	507	488
Pla2g2f	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl2c2	0	0	0	0	0	6	7	1	1	0	1	0	0	3	0	8	4	8	15	11
Vps37a	1395	1456	1535	1942	2186	1181	1175	1193	1477	1296	2068	1816	1611	1950	2783	1118	652	1063	1306	1285
Wdr92	420	444	445	795	681	496	572	454	619	615	539	598	412	650	755	390	272	366	551	522
Usp4	4391	4375	4460	5666	5911	4295	4751	4264	4590	4473	4479	5292	3605	5124	6747	3471	1703	3176	3991	3798
Spag17	3	5	6	2	4	63	41	55	130	164	2	5	1	10	7	113	36	61	160	113
Asxl2	1708	1636	1706	2201	2536	1616	1582	1689	1853	1851	2181	2357	1730	2262	2805	1528	912	1317	1763	1638
Gm11827	3	0	6	1	0	12	13	28	47	37	14	5	9	17	14	87	44	62	82	71
Olfr38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh17	354	81	306	144	624	1572	672	1040	324	813	2039	638	975	341	1720	1706	328	858	708	2117
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptdss1	1783	1694	2046	3109	3502	1939	2095	2111	3397	3291	2472	2870	2212	3321	4287	2034	799	2103	2916	2900
Olfr1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng3	4	0	3	1	1	2	0	5	1	1	7	6	2	7	1	5	8	4	1	2
Mir143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saa3	27	4	43	12	16	370	47	174	406	216	468	81	178	113	349	239	430	871	1246	265
Dnase2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Kat2a	1909	1606	1999	2286	2260	1586	1819	1909	2094	1753	1579	1934	1333	1646	2249	1419	664	1303	1663	1593
LOC110008574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ang5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints1	2860	2740	2836	3324	3324	2625	3178	2879	2937	2447	2894	3056	2319	2608	3407	2463	893	2070	2694	2624
Robo3	1	8	3	0	2	7	4	0	0	0	3	2	1	0	1	2	2	2	2	0
Mir188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy5	234	182	161	227	395	155	238	216	449	343	1064	1416	1076	1426	1292	1133	499	978	1078	1426
Doxl2	0	0	1	0	0	0	0	0	0	0	4	1	0	0	2	1	0	1	0	0
Clec3a	0	0	0	0	0	1	0	1	0	0	4	2	0	0	4	0	0	0	1	4
Gabarapl1	2786	2835	2319	3626	4242	3803	3964	3876	6543	6486	4968	3868	2807	3866	5611	7949	2707	5452	7693	7379
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigf	148	185	154	230	196	132	192	116	169	164	202	159	133	202	232	86	48	72	134	118
Gm6878	0	0	0	0	1	0	1	2	6	3	0	1	0	0	0	1	0	0	5	0
Etv3	1304	1012	1199	1767	2430	1090	1028	1128	1775	1895	2204	2286	1801	2470	2771	2040	1011	1925	2131	2231
Vmn1r81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actg1	58327	77733	50230	67406	61226	48400	68517	45886	38734	33568	51734	46835	30114	41960	64911	29858	10245	23288	27823	32362
St7	448	536	572	729	763	441	492	347	650	571	458	594	414	544	817	502	200	375	500	428
March10	1	1	0	0	0	2	2	0	1	1	0	1	0	0	3	0	1	1	2	0
Spn	151	45	68	53	108	98	41	77	50	90	25	45	14	45	41	30	12	23	17	22
Matn3	46	65	76	92	128	27	29	18	48	93	37	198	88	223	150	19	16	34	17	69
Mfsd5	1622	1414	1619	2290	2213	1870	1880	1615	2187	1947	2037	2068	1480	1956	2750	1611	522	1294	1705	1832
Arhgef38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuta	712	625	794	1007	1033	1140	1022	908	1233	1176	855	1036	668	935	1136	1105	338	841	1068	1138
Gm4262	15	34	22	19	25	47	58	55	36	33	8	19	7	12	28	30	17	12	42	26
Pdzd11	953	1096	1075	1574	1480	1167	1186	1079	1291	1255	1213	1323	850	1277	1631	937	597	930	1087	1044
Pdcd7	369	329	432	540	576	398	421	437	597	570	431	464	381	448	506	518	163	462	562	542
Lmcd1	835	467	676	779	1681	818	635	745	1688	1540	3481	1548	1335	1811	4628	1101	395	955	790	1357
Rif1	865	1030	1061	1342	1307	734	653	738	870	816	941	997	714	1038	1132	585	526	627	808	626
Rpl37	7858	7307	8179	10296	10182	9424	9333	8788	9369	9801	6808	7319	4673	6908	10088	7461	2547	5841	7889	7980
Aff2	282	306	463	474	534	461	522	704	594	716	1000	1004	762	890	1104	1088	419	496	666	903
Gfra1	2828	1215	1079	1409	3677	2860	1284	1172	1285	1561	2469	1250	1082	1134	3582	1515	928	1152	1559	823
Frmd7	1	3	2	2	2	2	4	3	5	1	3	2	8	8	2	1	1	3	5	1
Topors	2084	2183	2348	2862	2963	1984	2390	2162	2431	2261	2134	2542	1617	2398	2972	1674	1176	1585	2148	1801
Nrp1	9339	15728	7550	13757	13500	8837	11892	10945	20189	17059	11243.87	11752	8808	11462	14066	16428	7977	14983	25215	21878
Irf2bp2	4110	3754	3891	5861	5086	3058	3800	3620	4072	3421	5370	5798	3816	5428	7838	3816	1339	2874	4224	4936
Lmtk3	272	287	480	445	291	197	405	483	203	111	239	389	263	281	424	83	53	86	125	123
Havcr2	387	96	137	341	554	478	124	249	624	777	359	246	188	259	378	729	193	698	509	844
Zfp658	257	173	193	337	436	323	277	307	291	362	294	251	202	309	278	313	113	194	308	184
Olfr47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mafa	5	2	3	4	3	4	5	6	2	4	3	3	0	3	3	2	0	3	1	2
Atxn7l1	503	330	432	467	706	552	405	451	552	503	690	662	505	557	658	743	392	620	703	689
Sec61a1	10509	11323	11259	17028	16702	11900	14138	11725	13556	11560	11485	13002	9336	14133	19168	7478	3324	6604	9756	9979
Mrpl40	612	535	651	776	782	638	622	604	620	630	568	724	472	675	766	629	305	563	590	606
Arhgap29	5447	5669	4719	5919	5894	4707	4559	4364	6892	5932	5608	5944	4550	5821	7224	4736	4074	5229	6667	5171
Hist1h1a	3	8	6	5	2	3	3	3	1	2	5	5	2	1	11	4	0	4	1	0
Gm1141	8	3	8	8	7	4	8	3	7	7	5	6	1	9	13	3	4	2	8	6
Mfsd13a	165	35	87	142	185	233	51	135	201	215	284	209	213	184	257	294	45	217	220	308
Vmn2r116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid2	2952	2764	3033	3454	4031	2704	2665	2973	3225	2901	3181	3703	2768	3442	4424	2213	1326	2141	2602	2575
Gzmn	1	3	0	2	1	5	8	0	2	0	0	0	0	0	0	0	0	0	0	0
Lamp1	22962	20876	21371	31691	40835	34917	28653	27182	49140	50201	33822	35151	25079	34496	42910	45574	20925	43821	48188	52340
1700039M10Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Prr9	0	0	1	1	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Kyat3	122	119	113	206	179	163	188	154	161	159	132	202	133	216	192	322	191	275	281	287
Ccdc62	28	46	59	91	122	54	48	58	143	118	69	150	65	153	131	114	110	112	217	194
Olfr703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gfm1	1362	1346	1333	1619	1762	1174	1426	1161	1494	1326	1533	2161	1571	2071	1991	1670	1194	1911	1766	1773
Mir375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp8b3	4	0	4	0	4	2	10	4	12	26	3	2	3	3	1	18	3	13	10	11
Rasl11b	847	1002	1154	1756	2023	564	685	735	950	1179	1623	1928	989	1855	3261	765	287	644	962	975
Ifit1	618	178	563	325	675	2724	1020	5387	618	723	526	322	277	436	381	1457	856	1197	989	1377
Ltv1	1138	1154	1236	1427	1583	966	1152	980	1211	1253	1348	1728	1134	1279	1753	994	772	989	1210	1167
Mir291a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3604	18	22	20	41	40	16	21	27	52	37	38	37	32	33	18	21	42	32	35	24
H2al2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf1	2299	2376	2537	2733	3056	2417	2665	2345	2578	2400	2743	3033	2230	3039	3515	2129	1476	2165	2789	2508
Fhod3	266	516	324	393	522	203	359	300	152	228	331	399	267	356	725	90	43	126	113	144
Pop5	217	166	189	304	306	221	203	178	321	325	258	323	249	324	423	385	114	281	272	346
Tctex1d2	133	111	174	225	207	188	183	196	215	185	154	174	94	199	243	131	62	152	194	184
Adgre5	3648	4918	2792	2942	3308	1623	3483	1797	2006	1618	2894	3357	2164	2841	3860	1446	849	1431	1868	1689
Sptlc3	0	1	0	0	0	0	0	0	0	0	269	361	244	223	166	143	175	234	190	191
Btbd35f17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp982	11	16	6	25	14	8	17	10	28	18	22	28	18	36	31	11	23	18	29	16
Snord45b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU015791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb1	1359	1534	1397	1715	1833	1252	1427	1357	1635	1353	1463	1596	1250	1597	2064	1025	680	1032	1308	1096
Prph	6	4	17	13	6	20	7	44	44	160	7	14	10	6	11	12	15	15	18	24
BC055324	232	206	228	330	216	132	195	157	179	146	117	105	79	140	192	70	39	50	94	74
Mroh2b	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr111	14	0	1	9	28	11	0	2	12	18	10	19	3	25	5	12	5	0	3	9
Egfr	4474	5483	8094	8660	8919	4607	6620	7681	11244	8051	5649	11952	8547	11162	9707	7375	7122	10372	15133	9577
Thap7	492	414	573	733	639	700	770	621	667	614	633	729	518	624	763	620	228	523	539	514
Gm35135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Slc9a1	2739	2278	3351	3593	3687	4345	4348	4834	4682	3945	3722	4137	2804	3282.26	4513	3748.64	1598	2820	3995	3311
4930543N07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921529L05Rik	0	0	0	1	2	2	1	0	3	1	0	7	2	4	0	0	0	2	2	0
Itgb1	53266	82805	44356	72101	65628	45316	57789	40463	58934	52243	51062	48502	29998	51145	75745	33494	23506	33600	48290	42442
Plek	1811	645	974	3516	4503	3828	810	1326	5197	6589	3053	2751	1945	2780	3433	5054	1846	5380	4278	5753
9330162B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm14a	3845	3675	3780	5200	5589	3333	3321	3172	4108	3807	4226	4764	3489	5059	6538	2948	1648	2524	3581	3600
Sdhaf3	49	68	67	95	81	38	67	53	71	52	79	84	57	77	108	56	15	67	61	57
Smim6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Usp17lb	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mknk1	1038	739	1047	1528	1948	1401	1192	1339	1752	1786	1868	1895	1426	1886	2339	1595	662	1420	1720	2021
Tbx4	761	513	1756	1327	1189	1418	1264	2593	1635	1869	951	702	807	716	1124	839	359	1214	1397	1603
Gm13090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mei1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf10b	1786	2386	1729	2498	2101	1393	2078	1344	1200	959	1641	1775	990	1753	2544	574	329	445	840	702
B130034C11Rik	12	9	16	5	19	13	5	11	12	20	6	15	9	15	8	14	4	14	13	12
Cgref1	222	295	380	556	411	260	404	389	779	665	504	668	495	788	846	364	209	415	478	660
Actn2	1	9	12	4	11	1	15	3	16	2	1	9	2	6	5	0	0	1	4	5
Cope	2736	2549	2863	3755	3420	4024	4196	4131	3811	3542	3187	3670	2413	3331	4530	3231	1074	2540	3171	3447
Stpg1	0	0	0	0	1	0	0	2	3	5	2	1	2	0	8	6	1	2	3	9
Mgam	7	5	9	3	4	60	61	44	95	48	13	22	2	7	20	164	176	113	219	68
Mir3071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tctn2	330	270	420	436	411	701	627	933	611	557	392	414	340	401	562	590	223	501	689	588
Asb14	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Bsph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifngr2	3359	3647	2948	4440	4927	3814	4149	3564	4780	4588	4107	4123	2552	3714	5058	3062	1574	2958	3647	3462
5031410I06Rik	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Crim1	3053	6136	2889	4638	4553	1894	2674	2011	2853	2007	4522	3964	3024	4103	4747	2082	784	1316	2016	1876
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scube3	125	59	119	64	197	184	37	99	76	283	258	184	150	221	305	126	22	47	59	227
Ifit3b	123	46	128	90	158	652	333	1333	158	200	144	98	88	158	143	437	219	357	386	467
Mir3060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Styx	275	357	334	409	388	264	276	301	291	265	333	349	252	313	345	279	176	234	262	251
Nedd9	4667	4776	5316	6288	7678	2728	2835	2808	3342	3743	7931	11595	7206	8884	11678	2626	1576	3361	3408	4664
Rab33a	5	3	9	16	13	15	17	15	16	17	18	10	9	7	11	15	3	18	9	9
Rsc1a1	133.68	118.76	90.55	272.54	316.9	172.17	124.37	292.17	287.73	341.36	214.22	188.81	149.95	360.4	256.38	211.28	74.52	239.65	413.28	454.99
Csnk2a2	1144	1290	1165	1531	1556	994	1339	1129	1286	1155	1056	1409	883	1261	1648	1045	476	892	1093	1014
Cmc4	38.43	40.2	42.47	70.59	64.07	32	52.63	66.12	116.79	114.83	55.44	97.96	55.02	121.27	102.97	93.02	46	85.99	142.93	130.09
Adprh	2105	2227	2012	3357	2992	2327	2870	2263	3032	2374	2352	2583	1677	2573	3503	2161	837	1580	2369	2162
Mir3544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nob1	847	854	888	1281	1091	770	797	705	904	814	776	854	541	860	1033	625	286	527	688	627
Ppm1e	46	53	41	86	161	28	15	27	31	33	115	131	72	122	178	50	17	16	36	39
Mir7049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer	1366	1549	1251	1600	1666	1537	1482	1174	1455	1427	1310	1357	895	1326	1836	1017	545	872	1103	1115
Gm6815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf149	2335	2879	1816	2944	2799	2312	2328	1846	2178	2096	2411	2288	1674	2339	3561	2180	951	2158	2186	2276
Gbgt1	24	5	15	20	35	59	64	84	98	108	150	95	71	89	140	176	49	95	139	184
Cpa1	1	1	4	10	3	4	2	2	7	3	0	7	5	7	4	0	0	0	1	0
Klhl40	3	1	1	1	9	37	18	79	16	36	11	2	2	2	22	36	10	26	30	29
1700125G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11538	0	0	0	0	3	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0
Snord96a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srr	787	712	1061	1343	1454	939	1231	1238	1937	1535	1433	1816	1322	1714	1977	1382	1122	1504	2112	1710
Fahd2a	75	50	119	199	212	98	102	136	120	124	166	187	149	241	277	108	42	127	208	196
Prpf38b	2271	1903	2211	2408	2831	2161	1943	2202	2302	2156	2406	2803	1781	2500	2875	2246	2017	2121	2636	2379
Tex50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Srebf2	8717	7832	7244	7713	8297	9999	9636	7141	5406	5032	7790	6144	4954	4956	8704	5854	1599	4345	5600	6822
Itln1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glud1	7300	6304	6621	8991	9573	7684	7518	7191	9383	8828	7407	7270	5524	7431	9644	9870	3639	8064	8222	8826
Vmn2r113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eml2	501	416	484	918	761	610	647	622	742	673	885	746	442	787	1179	729	248	537	777	884
Mbd1	1537	1341	1379	1847	2160	1477	1436	1561	1970	1880	1745	1860	1310	1849	2255	1542	790	1517	1922	1824
Itgb4	46	33	65	72	101	85	93	141	171	180	74	121	39	107	246	107	27	50	99	80
Fgf18	409	208	644	837	2057	154	201	387	810	786	1270	2179	1378	1621	2483	333	349	441	525	530
Heca	874	800	884	1197	1438	915	1030	1307	1683	1518	1189	1324	962	1259	1674	1108	540	983	1230	1191
Kel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpa2b1	11593	10795	12181	15317	15962	11718	12367	10716	12264	11421	9763	12264	8462	12969	15430	8376	7546	8846	10710	10330
Ripk2	589	852	621	792	595	360	404	412	493	436	576	592	451	676	702	420	226	396	486	486
C130080G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Vmn1r72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin52	202	172	181	318	339	229	206	213	367	351	256	269	204	331	378	285	163	283	444	340
Adam12	6054	6816	5860	8119	6937	9468	9162	6966	13537	10990	5749	5666	3763	5889	7903	10277	6152	6958	8100	6095
Ethe1	309	349	314	465	393	406	466	445	468	414	327	320	240	273	437	320	90	261	324	329
Dapk1	1239	942	1485	1807	2160	1716	1716	2280	4587	3709	3349	4562	3474	4394	4311	5895	3652	5918	9938	8220
9230102K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npy6r	12	5	7	11	56	0	2	3	3	5	75	54	22	45	77	7	1	3	9	8
Gm11548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp45	1071	1042	897	1286	1445	961	977	992	1233	1050	1162	1204	847	1249	1519	827	560	795	1159	957
Eny2	939	968	1168	1512	1639	1082	1253	985	1178	1263	904	1218	809	1285	1649	759	478	839	935	963
Pcsk1	3	0	2	2	2	6	1	5	2	0	2	2	1	3	6	18	10	6	17	11
Pon3	712	491	668	1090	976	1174	995	1155	1251	1129	1306	1061	826	1148	1480	1584	631	1330	1660	1823
4932414N04Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ucma	1	1	2	4	13	3	2	0	18	37	4	35	12	71	93	1	2	13	7	9
Zfp180	863	851	849	1207	1258	799	791	731	1033	955	952	939	683	939	1296	706	293	602	898	726
Tspan8	5	4	4	9	12	8	18	10	54	87	17	137	50	163	207	34	68	99	55	29
Clip3	4792	4837	5869	6323	6388	5986	8432	9447	8068	6651	5020	6569	3851	4933	7032	5413	3241	3933	6171	4772
Runx1	4411	4545	3707	4743	4538	3768	3696	3788	2623	2065	4593	2776	2272	2376	5177	1492	857	1909	2032	1924
Foxf2	100	75	60	74	105	122	102	65	86	83	87	67	35	63	150	72	17	27	83	81
Mir3101	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec10a	4	9	1	2	13	7	1	7	81	127	488	198	354	324	193	705	71	251	899	746
Vps13a	935	1229	876	1237	1322	1015	950	1165	1642	1308	1310	1459	1211	1647	1612	1263	1094	1493	1890	1472
Apold1	5	14	15	22	19	15	13	13	24	9	14	17	10	19	22	4	18	18	11	14
Papln	35	11	7	8	67	66	23	20	22	69	476	234	231	218	441	884	56	145	98	683
Zfp322a	703	879	865	1293	1410	770	881	851	1393	1212	1041	1042	718	1342	1181	742	596	780	1167	851
Gnb4	915	984	892	1174	978	815	963	986	925	965	664	548	382	570	982	464	258	544	652	607
Ctbp1	6494	6160	6603	9040	8865	6638	7194	6378	7837	6598	6150	6742	4565	6860	9256	5016	1689	4048	5500	5196
Npl	80	38	28	224	279	211	92	91	510	447	845	876	527	748	693	1074	317	721	860	987
A630023A22Rik	16	22	42	76	43	15	22	6	15	9	5	4	4	7	17	2	0	0	3	0
Tns4	11	20	9	16	15	8	3	2	9	13	22	25	10	18	17	3	3	10	9	15
Rps19bp1	489	424	460	601	555	394	437	332	433	383	440	535	337	432	611	424	165	350	381	418
Svs5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931403E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9230112D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfx3	156	153	274	244	304	217	272	316	291	249	197	199	171	236	267	167	163	225	431	350
1110038F14Rik	634	610	765	842	894	976	961	1048	1045	892	718	909	594	848	1113	708	374	672	815	769
Pebp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g6	680	705	683	871	826	776	898	909	909	866	1169	1169	893	997	1203	1217	519	1099	1012	1225
Scn2a	152	170	269	313	273	213	249	415	462	369	232	438	316	500	520	222	273	382	626	423
Daxx	1137	989	1047	1462	1433	1425	1357	1629	1447	1332	1192	1409	862	1368	1796	1214	474	1016	1311	1244
Try10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stoml3	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ddx20	458	456	505	678	697	363	450	411	584	542	478	518	415	536	660	365	233	412	564	457
Gm15201	2	0	4	0	1	2	3	4	9	4	1	2	1	2	4	3	4	7	5	4
Cma2	16	10	1	2	5	42	50	10	6	6	3	0	0	0	1	0	0	0	1	0
Fap	921	608	462	754	1234	452	580	455	749	804	822	746	508	739	1238	373	366	634	467	458
Smim19	440	450	537	741	900	443	545	620	698	800	578	905	569	872	1051	670	413	567	684	748
Defb35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnali1	3	1	2	9	3	2	1	6	4	2	1	2	3	4	10	0	5	2	2	6
Mir208b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0
Dhfr	426	389	400	574	527	309	349	280	429	326	248	321	198	297	328	209	159	226	308	229
2410124H12Rik	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pfn1	18566	18367	16927	23914	22898	17835	20102	15402	18338	16956	16559	16293	10636	13948	21919	12742	5344	10315	11324	13860
Gp2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdp1	584	558	596	839	729	583	703	543	696	529	509	678	402	599	775	508	267	443	568	554
4930481A15Rik	30	21	24	14	62	42	30	56	87	110	43	54	38	57	59	111	34	61	76	131
Miox	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Kif13b	810	529	670	1042	1915	1124	910	1294	2537	2578	2101	2175	1698	2419	2868	2281	1101	2229	3133	2840
